last_name,first_name,last_name_phonetic,first_name_phonetic,email,enrollment_status,grade,birthday,gender,location,tag,student_phone_number,home_phone_number,contact_preference,user_id,external_user_id
Vuong,Course 1,,first-KALMxlif98,student-csv-01H397A863EB4V8D9E4CFSBSX8.KcBFYq2p4K@gmail.com,1,id_1,1965/05/18,1,payment center 1,,1687158071491,1687158071492,1,,
Vuong,Course 2,,first-F4WShaQRhC,student-csv-01H397A866VQM72QY65VQ59V10.zpPjiZ1F3Q@gmail.com,1,id_1,1969/05/29,2,payment center 1,,1687158071494,1687158071496,1,,
Vuong,Course 3,,first-0NjHQJYEkk,student-csv-01H397A868PNJ4AZZS8ADMP825.khnNPvb2yf@gmail.com,1,id_1,2004/02/27,1,payment center 1,,1687158071496,1687158071497,1,,
Vuong,Course 4,,first-pgLtVzjZ95,student-csv-01H397A869KDHQTSNFMX1Z30D1.UOUddfwiLx@gmail.com,1,id_1,1964/02/12,2,payment center 1,,1687158071497,1687158071498,1,,
Vuong,Course 5,,first-4sK7RTSweX,student-csv-01H397A86AJBGKFK565KAJWWYZ.mqrkg99aOb@gmail.com,1,id_1,1999/05/31,1,payment center 1,,1687158071498,1687158071499,1,,
Vuong,Course 6,,first-FiFkBVZrYm,student-csv-01H397A86BK7W5JM9YJ909H1QW.yjUUhMZmi3@gmail.com,1,id_1,1995/04/21,1,payment center 1,,1687158071499,1687158071500,1,,
Vuong,Course 7,,first-vraxddy26t,student-csv-01H397A86CKV1YHAG9HW7BQ33D.GwKCA9MIZ7@gmail.com,1,id_1,2014/11/22,1,payment center 1,,1687158071500,1687158071501,1,,
Vuong,Course 8,,first-wCwLvYofgE,student-csv-01H397A86DBW51RQ4FH08YHW0Z.sImxWZ1ora@gmail.com,1,id_1,1984/09/18,1,payment center 1,,1687158071501,1687158071502,1,,
Vuong,Course 9,,first-tLJzgZv0mi,student-csv-01H397A86ECDCYED4BC9DHE4YR.YW5Y4Rxx8H@gmail.com,1,id_1,2002/09/14,1,payment center 1,,1687158071502,1687158071503,1,,
Vuong,Course 10,,first-mT8iwBAfhT,student-csv-01H397A86FNQ5PSPYRTDBH4ECX.q8aGY6gHQr@gmail.com,1,id_1,1989/04/15,1,payment center 1,,1687158071503,1687158071504,1,,
Vuong,Course 11,,first-r8j5syw8KR,student-csv-01H397A86G37XYJ44HNPMZPJ3Z.sl43xTOsxx@gmail.com,1,id_1,1973/01/31,1,payment center 1,,1687158071504,1687158071505,1,,
Vuong,Course 12,,first-Pt77ba7Ood,student-csv-01H397A86H9GAKW61XD97MXTEV.bSqLvnmMn1@gmail.com,1,id_1,1991/11/23,2,payment center 1,,1687158071505,1687158071506,1,,
Vuong,Course 13,,first-YNSbxPS083,student-csv-01H397A86J7THMMB29KY6JE7D4.R11zo6SDUJ@gmail.com,1,id_1,2014/07/24,2,payment center 1,,1687158071506,1687158071507,1,,
Vuong,Course 14,,first-SAkhVI8qVp,student-csv-01H397A86KRTD876RE48P7QKBS.5oeoP7SZwd@gmail.com,1,id_1,1978/10/02,1,payment center 1,,1687158071507,1687158071508,1,,
Vuong,Course 15,,first-LTT1niivtM,student-csv-01H397A86MK130WFQKB6VZXX9X.KuA4B07bGb@gmail.com,1,id_1,2019/11/03,1,payment center 1,,1687158071508,1687158071509,1,,
Vuong,Course 16,,first-wacBm6mbXV,student-csv-01H397A86NGY131N0V6G5QN6AP.ASsULVUXDl@gmail.com,1,id_1,1966/11/01,2,payment center 1,,1687158071509,1687158071510,1,,
Vuong,Course 17,,first-488CZUBgVy,student-csv-01H397A86PGFC4HJ9XHBZ08XDG.pHkDCRejop@gmail.com,1,id_1,1995/06/06,2,payment center 1,,1687158071510,1687158071511,1,,
Vuong,Course 18,,first-4VR7BYW6Ar,student-csv-01H397A86QXPJ18KJWM4470R2X.pzbaPi3rmh@gmail.com,1,id_1,1979/08/10,1,payment center 1,,1687158071511,1687158071512,1,,
Vuong,Course 19,,first-haCtBrsYBF,student-csv-01H397A86RS3HC8APKHM0V90KX.RQZHkbpjGe@gmail.com,1,id_1,1974/02/04,2,payment center 1,,1687158071512,1687158071513,1,,
Vuong,Course 20,,first-UJ1QX540Kg,student-csv-01H397A86SYBQ9VXHN86DGMR4B.DhaFgwOnhL@gmail.com,1,id_1,1981/09/04,2,payment center 1,,1687158071513,1687158071514,1,,
